name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
GaFFIVE_4_Co_i,6.27532,1.01744,725.121,712.688,0.425979,0.43341,55.84742044,3.515165253,8.141025082,13.80231264,67,6.25,0.134328358,2.484477612,45.08990154
GaFFIVE_4_Cu_i,6.38318,1.0056,732.517,728.438,0.435501,0.43794,55.47557774,3.491760617,8.086820595,13.71041423,67,6.25,0.134328358,2.512835821,45.01826303
GaFFIVE_4_Fe_i,7.21143,0.780015,1602.4,2054.32,0.740524,0.57762,56.09913447,3.531008714,8.177718097,13.86452206,67,6.25,0.134328358,2.484477612,67.73752862
GaFFIVE_4_Ni_i,6.51712,1.00601,709.168,704.93,0.432818,0.43542,55.86690272,3.516391513,8.143865065,13.80712755,67,6.25,0.134328358,2.484477612,44.21090317
GaFFIVE_4_Zn_i,6.53737,0.998319,714.121,715.324,0.44009,0.43935,55.32911547,3.482541945,8.065470407,13.67421707,67,6.25,0.134328358,2.509104478,44.94882287
GaFFIVE_5_Cd_i,5.37255,0.87057,1473.06,1692.07,0.588718,0.51252,59.12174974,3.608493653,6.267878298,10.62657528,99,4.545454545,0.103448276,2.467356322,47.37821619
GaFFIVE_5_Co_i,4.84322,0.898402,1352.53,1505.48,0.535072,0.48071,62.88376919,3.838108361,6.666714262,11.30276269,99,4.545454545,0.103448276,2.467356322,44.55484774
GaFFIVE_5_Cu_i,4.92504,0.891634,1364.85,1530.73,0.543665,0.48475,62.54048687,3.817156138,6.630320688,11.24106094,99,4.545454545,0.103448276,2.489195402,44.57941666
GaFFIVE_5_Fe_i,4.86844,0.908943,1322.51,1455,0.518228,0.47104,63.11568015,3.852263037,6.69130064,11.34444649,99,4.545454545,0.103448276,2.467356322,44.34580481
GaFFIVE_5_Ni_i,4.97087,0.90216,1329.86,1474.09,0.524508,0.47319,62.90173226,3.839204736,6.668618643,11.30599138,99,4.545454545,0.103448276,2.467356322,44.46034397
GaFFIVE_5_Zn_i,5.04203,0.894286,1347.08,1506.31,0.535064,0.4785,62.4050464,3.808889534,6.615961769,11.21671679,99,4.545454545,0.103448276,2.486321839,44.63077052
GaFFIVE_6_Cd_i,4.66724,1.03392,1030.62,996.808,0.399065,0.4126,57.07192198,3.352755653,6.655619109,11.28395194,91,5,0.113924051,2.476708861,37.80349195
GaFFIVE_6_Co_i,4.17877,1.06924,844.691,789.992,0.343272,0.36704,60.94340245,3.580190223,7.107103806,12.04940013,91,5,0.113924051,2.476708861,30.50577225
GaFFIVE_6_Cu_i,4.25141,1.06296,927.416,872.484,0.354087,0.37638,60.58886362,3.559362432,7.065758162,11.97930263,91,5,0.113924051,2.500759494,30.32686612
GaFFIVE_6_Fe_i,4.42834,1.04237,923.648,886.103,0.363489,0.37889,61.18306272,3.594269341,7.135052531,12.09678446,91,5,0.113924051,2.476708861,30.21643302
GaFFIVE_6_Ni_i,4.30069,1.07698,872.571,810.198,0.340534,0.36675,60.96196158,3.581280501,7.109268137,12.05306954,91,5,0.113924051,2.476708861,29.56962531
